ID,Math,English,Science,Average,GRADE
ST-0092,92,60,84,78.67,C
ST-0093,77,95,98,90,A
ST-0094,89,93,69,83.67,B
ST-0095,91,72,82,81.67,B
ST-0096,92,91,81,88,B
ST-0097,72,94,99,88.33,B
ST-0098,66,82,65,71,C
ST-0099,92,67,81,80,B
ST-0100,70,72,65,69,D
ST-0101,75,73,71,73,C
ST-0102,99,80,75,84.67,B
ST-0103,63,68,98,76.33,C
ST-0104,75,84,87,82,B
ST-0105,60,75,100,78.33,C
ST-0106,62,90,62,71.33,C
ST-0107,66,74,71,70.33,C
ST-0108,78,79,68,75,C
ST-0109,74,66,70,70,C
ST-0110,64,75,99,79.33,C
ST-0111,95,96,84,91.67,A
ST-0112,72,66,75,71,C
ST-0113,98,88,64,83.33,B
ST-0114,87,85,93,88.33,B
ST-0115,85,63,95,81,B
ST-0116,87,84,73,81.33,B
ST-0117,77,92,74,81,B
ST-0118,95,78,63,78.67,C
ST-0119,79,65,95,79.67,C
ST-0120,96,68,72,78.67,C
ST-0121,99,61,84,81.33,B
ST-0122,80,97,64,80.33,B
ST-0123,85,71,60,72,C
ST-0124,87,91,63,80.33,B
ST-0125,76,83,90,83,B
ST-0126,88,73,99,86.67,B
ST-0127,72,71,83,75.33,C
ST-0128,68,86,82,78.67,C
ST-0129,67,99,63,76.33,C
ST-0130,68,83,64,71.67,C
ST-0131,90,98,95,94.33,A
ST-0132,76,94,81,83.67,B
ST-0133,71,88,60,73,C
ST-0134,83,82,68,77.67,C
ST-0135,94,89,89,90.67,A
ST-0136,86,78,94,86,B
ST-0137,68,89,85,80.67,B
ST-0138,95,92,68,85,B
ST-0139,73,66,68,69,D
ST-0140,66,65,67,66,D
ST-0141,96,90,72,86,B
ST-0142,93,61,90,81.33,B
ST-0143,91,80,79,83.33,B
ST-0144,98,64,62,74.67,C
ST-0145,62,91,78,77,C
ST-0146,94,76,94,88,B
ST-0147,61,93,76,76.67,C
ST-0148,79,65,99,81,B
ST-0149,71,72,95,79.33,C
ST-0150,88,66,66,73.33,C
ST-0151,83,86,79,82.67,B
ST-0152,90,65,91,82,B
ST-0153,70,76,73,73,C
ST-0154,68,65,86,73,C
ST-0155,72,95,79,82,B
ST-0156,81,76,65,74,C
ST-0157,66,99,98,87.67,B
ST-0158,89,70,88,82.33,B
ST-0159,70,79,81,76.67,C
ST-0160,96,70,96,87.33,B
ST-0161,94,62,65,73.67,C
ST-0162,92,84,95,90.33,A
ST-0163,76,94,83,84.33,B
ST-0164,61,68,76,68.33,D
ST-0165,78,92,78,82.67,B
ST-0166,82,88,62,77.33,C
ST-0167,84,69,92,81.67,B
ST-0168,72,76,86,78,C
ST-0169,93,83,72,82.67,B
ST-0170,89,86,71,82,B
ST-0171,76,97,94,89,B
ST-0172,100,93,79,90.67,A
ST-0173,98,84,85,89,B
ST-0174,96,75,72,81,B
ST-0175,63,95,90,82.67,B
ST-0176,95,64,63,74,C
ST-0177,81,92,93,88.67,B
ST-0178,97,63,78,79.33,C
ST-0179,100,81,82,87.67,B
ST-0180,84,93,81,86,B
ST-0181,100,75,76,83.67,B
ST-0182,95,94,93,94,A
ST-0183,70,78,68,72,C
ST-0184,87,60,67,71.33,C
ST-0185,60,75,96,77,C
ST-0186,80,81,92,84.33,B
ST-0187,76,62,66,68,D
ST-0188,66,96,69,77,C
ST-0189,63,98,71,77.33,C
ST-0190,70,63,82,71.67,C
ST-0191,83,96,86,88.33,B
ST-0192,67,89,66,74,C
ST-0193,72,69,100,80.33,B
ST-0194,96,90,83,89.67,B
ST-0195,76,61,74,70.33,C
ST-0196,93,72,83,82.67,B
ST-0197,92,72,72,78.67,C
ST-0198,65,93,100,86,B
ST-0199,76,72,69,72.33,C
ST-0200,75,65,82,74,C
ST-0201,71,85,80,78.67,C
ST-0202,70,100,60,76.67,C
ST-0203,85,69,89,81,B
ST-0204,77,98,95,90,A
ST-0205,96,98,73,89,B
ST-0206,90,75,87,84,B
ST-0207,88,83,65,78.67,C
ST-0208,91,70,79,80,B
ST-0209,97,86,70,84.33,B
ST-0210,87,83,86,85.33,B
ST-0211,86,64,76,75.33,C
ST-0212,97,84,89,90,A
ST-0213,74,99,94,89,B
ST-0214,79,78,96,84.33,B
ST-0215,89,88,61,79.33,C
ST-0216,84,89,76,83,B
ST-0217,94,85,84,87.67,B
ST-0218,60,81,69,70,C
ST-0219,84,85,60,76.33,C
ST-0220,73,63,87,74.33,C
ST-0221,78,97,91,88.67,B
ST-0222,65,66,92,74.33,C
ST-0223,93,78,98,89.67,B
ST-0224,74,75,98,82.33,B
ST-0225,92,92,63,82.33,B
ST-0226,79,93,74,82,B
ST-0227,95,63,98,85.33,B
ST-0228,64,85,89,79.33,C
ST-0229,99,66,80,81.67,B
ST-0230,84,93,67,81.33,B
ST-0231,87,90,65,80.67,B
ST-0232,80,95,73,82.67,B
ST-0233,81,64,76,73.67,C
ST-0234,80,65,65,70,C
ST-0235,94,66,81,80.33,B
ST-0236,86,73,95,84.67,B
ST-0237,65,73,94,77.33,C
ST-0238,85,83,82,83.33,B
ST-0239,75,82,65,74,C
ST-0240,95,92,60,82.33,B
ST-0241,95,60,80,78.33,C
ST-0242,98,82,69,83,B
ST-0243,65,64,86,71.67,C
ST-0244,91,83,90,88,B
ST-0245,84,83,64,77,C
ST-0246,64,87,65,72,C
ST-0247,71,95,64,76.67,C
ST-0248,82,82,74,79.33,C
ST-0249,92,77,96,88.33,B
ST-0250,62,89,61,70.67,C
ST-0251,66,88,73,75.67,C
ST-0252,75,99,67,80.33,B
ST-0253,78,60,87,75,C
ST-0254,70,60,85,71.67,C
ST-0255,94,77,65,78.67,C
ST-0256,91,85,85,87,B
ST-0257,91,62,71,74.67,C
ST-0258,63,66,90,73,C
ST-0259,88,85,95,89.33,B
ST-0260,96,98,76,90,A
ST-0261,79,70,97,82,B
ST-0262,96,93,89,92.67,A
ST-0263,64,72,83,73,C
ST-0264,82,64,84,76.67,C
ST-0265,79,100,77,85.33,B
ST-0266,65,69,81,71.67,C
ST-0267,67,69,92,76,C
ST-0268,100,82,70,84,B
ST-0269,92,84,92,89.33,B
ST-0270,99,89,86,91.33,A
ST-0271,63,76,78,72.33,C
ST-0272,69,62,92,74.33,C
ST-0273,87,88,96,90.33,A
ST-0274,90,94,90,91.33,A
ST-0275,98,65,67,76.67,C
ST-0276,69,81,90,80,B
ST-0277,65,72,72,69.67,D
ST-0278,97,76,90,87.67,B
ST-0279,92,74,76,80.67,B
ST-0280,82,98,80,86.67,B
ST-0281,63,79,75,72.33,C
ST-0282,100,84,100,94.67,A
ST-0283,95,60,64,73,C
ST-0284,69,77,66,70.67,C
ST-0285,69,94,80,81,B
ST-0286,94,84,78,85.33,B
ST-0287,96,94,100,96.67,A
ST-0288,61,81,75,72.33,C
ST-0289,91,98,79,89.33,B
ST-0290,63,60,84,69,D
ST-0291,63,87,86,78.67,C
ST-0292,60,90,97,82.33,B
ST-0293,87,94,78,86.33,B
ST-0294,80,98,71,83,B
ST-0295,95,93,80,89.33,B
ST-0296,94,90,64,82.67,B
ST-0297,96,94,67,85.67,B
ST-0298,100,98,86,94.67,A
ST-0299,62,97,69,76,C
ST-0300,61,65,82,69.33,D
ST-0301,86,99,98,94.33,A
ST-0302,76,78,64,72.67,C
ST-0303,75,60,91,75.33,C
ST-0304,81,91,68,80,B
ST-0305,84,64,80,76,C
ST-0306,90,95,83,89.33,B
ST-0307,98,85,94,92.33,A
ST-0308,86,99,76,87,B
ST-0309,72,82,80,78,C
ST-0310,83,73,80,78.67,C
ST-0311,86,94,63,81,B
ST-0312,96,89,84,89.67,B
ST-0313,96,94,88,92.67,A
ST-0314,96,76,67,79.67,C
ST-0315,96,68,96,86.67,B
ST-0316,71,85,81,79,C
ST-0317,61,61,82,68,D
ST-0318,83,94,76,84.33,B
ST-0319,80,60,87,75.67,C
ST-0320,67,90,87,81.33,B
ST-0321,72,97,100,89.67,B
ST-0322,71,76,65,70.67,C
ST-0323,95,71,98,88,B
ST-0324,80,71,68,73,C
ST-0325,98,66,63,75.67,C
ST-0326,93,66,83,80.67,B
ST-0327,80,100,74,84.67,B
ST-0328,66,88,94,82.67,B
ST-0329,72,83,82,79,C
ST-0330,61,76,63,66.67,D
ST-0331,80,84,84,82.67,B
ST-0332,65,83,60,69.33,D
ST-0333,95,75,62,77.33,C
ST-0334,63,86,88,79,C
ST-0335,68,74,61,67.67,D
ST-0336,63,85,71,73,C
ST-0337,89,72,70,77,C
ST-0338,69,62,85,72,C
ST-0339,61,61,75,65.67,D
ST-0340,97,86,64,82.33,B
ST-0341,62,67,77,68.67,D
ST-0342,70,90,84,81.33,B
ST-0343,82,96,89,89,B
ST-0344,80,84,96,86.67,B
ST-0345,69,62,99,76.67,C
ST-0346,60,92,83,78.33,C
ST-0347,100,83,83,88.67,B
ST-0348,88,90,74,84,B
ST-0349,73,69,95,79,C
ST-0350,82,78,62,74,C
ST-0351,62,68,81,70.33,C
ST-0352,72,84,79,78.33,C
ST-0353,82,64,71,72.33,C
ST-0354,91,99,73,87.67,B
ST-0355,96,95,96,95.67,A
ST-0356,72,80,76,76,C
ST-0357,72,84,81,79,C
ST-0358,82,99,97,92.67,A
ST-0359,81,82,90,84.33,B
ST-0360,88,61,75,74.67,C
ST-0361,93,77,100,90,A
ST-0362,62,84,93,79.67,C
ST-0363,71,70,67,69.33,D
ST-0364,92,94,71,85.67,B
ST-0365,63,65,76,68,D
ST-0366,87,87,84,86,B
ST-0367,74,94,69,79,C
ST-0368,100,68,73,80.33,B
ST-0369,61,94,66,73.67,C
ST-0370,62,86,99,82.33,B
ST-0371,72,64,95,77,C
ST-0372,87,72,98,85.67,B
ST-0373,84,64,70,72.67,C
ST-0374,72,85,82,79.67,C
ST-0375,92,92,96,93.33,A
ST-0376,69,85,79,77.67,C
ST-0377,97,64,98,86.33,B
ST-0378,84,64,89,79,C
ST-0379,66,79,92,79,C
ST-0380,73,63,71,69,D
ST-0381,92,63,96,83.67,B
ST-0382,79,72,91,80.67,B
ST-0383,86,65,78,76.33,C
ST-0384,79,84,68,77,C
ST-0385,80,73,72,75,C
ST-0386,95,80,93,89.33,B
ST-0387,68,68,90,75.33,C
ST-0388,93,98,75,88.67,B
ST-0389,64,97,95,85.33,B
ST-0390,69,90,78,79,C
ST-0391,70,98,60,76,C
ST-0392,61,80,97,79.33,C
ST-0393,93,65,84,80.67,B
ST-0394,100,86,89,91.67,A
ST-0395,82,73,91,82,B
ST-0396,68,84,82,78,C
ST-0397,86,62,85,77.67,C
ST-0398,62,98,90,83.33,B
ST-0399,75,92,80,82.33,B
ST-0400,70,97,92,86.33,B
ST-0401,76,90,97,87.67,B
ST-0402,61,88,83,77.33,C
ST-0403,91,84,87,87.33,B
ST-0404,60,86,83,76.33,C
ST-0405,80,61,70,70.33,C
ST-0406,73,82,83,79.33,C
ST-0407,95,94,77,88.67,B
ST-0408,68,64,94,75.33,C
ST-0409,66,75,75,72,C
ST-0410,93,68,91,84,B
ST-0411,60,63,99,74,C
ST-0412,84,74,80,79.33,C
ST-0413,99,70,100,89.67,B
ST-0414,72,61,91,74.67,C
ST-0415,83,62,76,73.67,C
ST-0416,83,77,84,81.33,B
ST-0417,76,99,72,82.33,B
ST-0418,90,64,94,82.67,B
ST-0419,71,76,79,75.33,C
ST-0420,72,68,77,72.33,C
ST-0421,73,68,83,74.67,C
ST-0422,76,81,80,79,C
ST-0423,68,75,100,81,B
ST-0424,100,98,96,98,A
ST-0425,68,69,100,79,C
ST-0426,75,97,75,82.33,B
ST-0427,68,70,66,68,D
ST-0428,71,74,61,68.67,D
ST-0429,68,80,63,70.33,C
ST-0430,80,64,74,72.67,C
ST-0431,92,76,76,81.33,B
ST-0432,89,68,94,83.67,B
ST-0433,80,65,96,80.33,B
ST-0434,80,77,81,79.33,C
ST-0435,99,63,98,86.67,B
ST-0436,63,81,83,75.67,C
ST-0437,78,69,71,72.67,C
ST-0438,86,91,65,80.67,B
ST-0439,62,75,98,78.33,C
ST-0440,85,91,92,89.33,B
ST-0441,100,88,81,89.67,B
ST-0442,69,93,99,87,B
ST-0443,74,91,97,87.33,B
ST-0444,77,90,69,78.67,C
ST-0445,87,68,86,80.33,B
ST-0446,80,87,100,89,B
ST-0447,70,71,77,72.67,C
ST-0448,70,81,75,75.33,C
ST-0449,96,92,60,82.67,B
ST-0450,95,84,60,79.67,C
ST-0451,72,72,81,75,C
ST-0452,87,67,100,84.67,B
ST-0453,82,70,77,76.33,C
ST-0454,92,78,97,89,B
ST-0455,63,98,83,81.33,B
ST-0456,87,80,69,78.67,C
ST-0457,80,98,84,87.33,B
ST-0458,69,99,61,76.33,C
ST-0459,100,88,86,91.33,A
ST-0460,71,85,90,82,B
ST-0461,95,94,98,95.67,A
ST-0462,100,80,89,89.67,B
ST-0463,78,96,85,86.33,B
ST-0464,80,100,81,87,B
ST-0465,92,96,64,84,B
ST-0466,60,84,91,78.33,C
ST-0467,74,84,63,73.67,C
ST-0468,62,65,94,73.67,C
ST-0469,74,86,73,77.67,C
ST-0470,66,61,72,66.33,D
ST-0471,82,93,63,79.33,C
ST-0472,93,76,95,88,B
ST-0473,61,97,88,82,B
ST-0474,85,68,87,80,B
ST-0475,89,66,100,85,B
ST-0476,86,92,99,92.33,A
ST-0477,83,87,89,86.33,B
ST-0478,88,85,69,80.67,B
ST-0479,81,80,75,78.67,C
ST-0480,96,66,94,85.33,B
ST-0481,82,73,69,74.67,C
ST-0482,68,72,76,72,C
ST-0483,87,80,94,87,B
ST-0484,83,93,70,82,B
ST-0485,74,84,70,76,C
ST-0486,60,76,75,70.33,C
ST-0487,76,77,93,82,B
ST-0488,64,96,96,85.33,B
ST-0489,82,82,69,77.67,C
ST-0490,91,86,78,85,B
ST-0491,80,97,91,89.33,B
ST-0492,80,71,74,75,C
ST-0493,100,97,78,91.67,A
ST-0494,80,69,62,70.33,C
ST-0495,95,64,66,75,C
ST-0496,73,87,100,86.67,B
ST-0497,74,70,82,75.33,C
ST-0498,86,74,61,73.67,C
ST-0499,74,75,85,78,C

